id,name,rarity,prompt
1,Charles the Architect,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Charles the Architect, a mythic-tier card from the ADA ARCANA universe. Depict founder of the citadel. summon to boost all allied structures hp by 30. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Charles the Architect. Replace the rarity box with Mythic. Write the description Founder of the Citadel. Summon to boost all allied structures HP by 30. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
2,Bison Vanguard,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison Vanguard, a rare-tier card from the ADA ARCANA universe. Depict tower defender that deals double damage to invading units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison Vanguard. Replace the rarity box with Rare. Write the description Tower defender that deals double damage to invading units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
3,Spirit of ADA,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Spirit of ADA, a mythic-tier card from the ADA ARCANA universe. Depict channel blockchain energy to restore mana of all allies. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Spirit of ADA. Replace the rarity box with Mythic. Write the description Channel blockchain energy to restore mana of all allies. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
4,The Citadel Gate,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of The Citadel Gate, a uncommon-tier card from the ADA ARCANA universe. Depict a defensive relic that prevents first turn damage. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with The Citadel Gate. Replace the rarity box with Uncommon. Write the description A defensive relic that prevents first turn damage. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
5,Whale of Fortune,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Whale of Fortune, a legendary-tier card from the ADA ARCANA universe. Depict gain 3 random resources at the start of each round. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Whale of Fortune. Replace the rarity box with Legendary. Write the description Gain 3 random resources at the start of each round. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
6,Obra Forgemaster,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Obra Forgemaster, a epic-tier card from the ADA ARCANA universe. Depict creates one weapon token every 2 turns for your army. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Obra Forgemaster. Replace the rarity box with Epic. Write the description Creates one Weapon Token every 2 turns for your army. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
7,Cardano Priestess,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Cardano Priestess, a common-tier card from the ADA ARCANA universe. Depict healer of the chain. recovers 20 hp of the weakest ally. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Cardano Priestess. Replace the rarity box with Common. Write the description Healer of the chain. Recovers 20 HP of the weakest ally. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
8,Soul of the Bison,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Soul of the Bison, a mythic-tier card from the ADA ARCANA universe. Depict summon a bison guardian for one battle. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Soul of the Bison. Replace the rarity box with Mythic. Write the description Summon a Bison Guardian for one battle. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
9,Hydra Node,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Hydra Node, a legendary-tier card from the ADA ARCANA universe. Depict increases mana generation rate by 2 for 3 turns. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Hydra Node. Replace the rarity box with Legendary. Write the description Increases mana generation rate by 2 for 3 turns. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
10,Charles Command,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Charles Command, a epic-tier card from the ADA ARCANA universe. Depict all citadel units gain 2 atk and 1 def. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Charles Command. Replace the rarity box with Epic. Write the description All Citadel units gain 2 ATK and 1 DEF. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
11,Junkora Survivor,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Junkora Survivor, a uncommon-tier card from the ADA ARCANA universe. Depict gains 1 atk every time a card is destroyed. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Junkora Survivor. Replace the rarity box with Uncommon. Write the description Gains 1 ATK every time a card is destroyed. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
12,Eclipse Shard,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Eclipse Shard, a rare-tier card from the ADA ARCANA universe. Depict cancels the effect of the next enemy spell. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Eclipse Shard. Replace the rarity box with Rare. Write the description Cancels the effect of the next enemy spell. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
13,Bison Island,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison Island, a uncommon-tier card from the ADA ARCANA universe. Depict deploys an island that produces food and metal per turn. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison Island. Replace the rarity box with Uncommon. Write the description Deploys an island that produces food and metal per turn. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
14,Citadel Drone Unit,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Drone Unit, a common-tier card from the ADA ARCANA universe. Depict a tech-powered scout that reveals enemy hidden cards. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Drone Unit. Replace the rarity box with Common. Write the description A tech-powered scout that reveals enemy hidden cards. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
15,Phantom Coder,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Phantom Coder, a legendary-tier card from the ADA ARCANA universe. Depict hack and copy any one-time ability from an opponent. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Phantom Coder. Replace the rarity box with Legendary. Write the description Hack and copy any one-time ability from an opponent. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
16,Token Altar,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Token Altar, a uncommon-tier card from the ADA ARCANA universe. Depict generate 1 coc token per victory round. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Token Altar. Replace the rarity box with Uncommon. Write the description Generate 1 COC token per victory round. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
17,Celestial Chain,Celestial,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Celestial Chain, a celestial-tier card from the ADA ARCANA universe. Depict prevents your mythic card from being destroyed once. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Celestial Chain. Replace the rarity box with Celestial. Write the description Prevents your Mythic card from being destroyed once. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
18,Deep Catch Leviathan,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Deep Catch Leviathan, a mythic-tier card from the ADA ARCANA universe. Depict summon a massive sea creature to devour weakest enemy. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Deep Catch Leviathan. Replace the rarity box with Mythic. Write the description Summon a massive sea creature to devour weakest enemy. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
19,Citadel Miner,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Miner, a common-tier card from the ADA ARCANA universe. Depict gain 1 resource per turn while active. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Miner. Replace the rarity box with Common. Write the description Gain 1 resource per turn while active. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
20,The System Core,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of The System Core, a legendary-tier card from the ADA ARCANA universe. Depict boosts production of all citadel buildings by 25. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with The System Core. Replace the rarity box with Legendary. Write the description Boosts production of all Citadel buildings by 25. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
21,Frogano Scout,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Frogano Scout, a common-tier card from the ADA ARCANA universe. Depict draw 1 extra card when played. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Frogano Scout. Replace the rarity box with Common. Write the description Draw 1 extra card when played. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
22,Bison King,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison King, a mythic-tier card from the ADA ARCANA universe. Depict leader of the bison clans, grants 3 atk to all bison cards. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison King. Replace the rarity box with Mythic. Write the description Leader of the Bison clans, grants 3 ATK to all Bison cards. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
23,Soul Reactor,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Soul Reactor, a epic-tier card from the ADA ARCANA universe. Depict converts hp into mana. high risk, high reward. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Soul Reactor. Replace the rarity box with Epic. Write the description Converts HP into Mana. High risk, high reward. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
24,Mystic Node,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Mystic Node, a uncommon-tier card from the ADA ARCANA universe. Depict search your deck for a tech or magic card. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Mystic Node. Replace the rarity box with Uncommon. Write the description Search your deck for a Tech or Magic card. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
25,Citadel Orbital Cannon,Mythic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Orbital Cannon, a mythic-tier card from the ADA ARCANA universe. Depict destroy any card on the field. requires 3 energy tokens. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Orbital Cannon. Replace the rarity box with Mythic. Write the description Destroy any card on the field. Requires 3 energy tokens. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
26,Chain Guardian,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Chain Guardian, a epic-tier card from the ADA ARCANA universe. Depict immune to destruction by non-magical effects. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Chain Guardian. Replace the rarity box with Epic. Write the description Immune to destruction by non-magical effects. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
27,Cardano Emissary,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Cardano Emissary, a rare-tier card from the ADA ARCANA universe. Depict draw two cards. if one is legendary, gain 5 credits. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Cardano Emissary. Replace the rarity box with Rare. Write the description Draw two cards. If one is Legendary, gain 5 credits. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
28,Ascendant Charles,Celestial,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Ascendant Charles, a celestial-tier card from the ADA ARCANA universe. Depict ultimate form. automatically wins if combined with citadel core. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Ascendant Charles. Replace the rarity box with Celestial. Write the description Ultimate form. Automatically wins if combined with Citadel Core. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
29,Defence Protocol Omega,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Defence Protocol Omega, a legendary-tier card from the ADA ARCANA universe. Depict all enemies lose 50 atk for 2 turns. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Defence Protocol Omega. Replace the rarity box with Legendary. Write the description All enemies lose 50 ATK for 2 turns. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
30,ADA Genesis Sigil,Celestial,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of ADA Genesis Sigil, a celestial-tier card from the ADA ARCANA universe. Depict symbol of balance  reshuffles your graveyard into the deck. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with ADA Genesis Sigil. Replace the rarity box with Celestial. Write the description Symbol of balance  reshuffles your graveyard into the deck. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
31,Whale Harbor,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Whale Harbor, a common-tier card from the ADA ARCANA universe. Depict building  whale harbor produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Whale Harbor. Replace the rarity box with Common. Write the description Building  Whale Harbor produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
32,Divine Uptime,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Divine Uptime, a common-tier card from the ADA ARCANA universe. Depict spell  cast divine uptime to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Divine Uptime. Replace the rarity box with Common. Write the description Spell  Cast Divine Uptime to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
33,Obra Hammer,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Obra Hammer, a common-tier card from the ADA ARCANA universe. Depict relic  while obra hammer remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Obra Hammer. Replace the rarity box with Common. Write the description Relic  While Obra Hammer remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
34,Rune Berserker,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Rune Berserker, a common-tier card from the ADA ARCANA universe. Depict unit  rune berserker enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Rune Berserker. Replace the rarity box with Common. Write the description Unit  Rune Berserker enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
